@@ -0,0 +1,16 @@
title,type,release_year,rating,duration,country,genre
Breaking Bad,TV Show,2008,TV-MA,5 Seasons,United States,Crime
Stranger Things,TV Show,2016,TV-14,4 Seasons,United States,Sci-Fi
Money Heist,TV Show,2017,TV-MA,5 Seasons,Spain,Crime
The Crown,TV Show,2016,TV-MA,4 Seasons,United Kingdom,History
Dark,TV Show,2017,TV-MA,3 Seasons,Germany,Sci-Fi
Friends,TV Show,1994,TV-14,10 Seasons,United States,Comedy
The Witcher,TV Show,2019,TV-MA,3 Seasons,United States,Fantasy
Inception,Movie,2010,PG-13,148 min,United States,Sci-Fi
Interstellar,Movie,2014,PG-13,169 min,United States,Sci-Fi
Titanic,Movie,1997,PG-13,195 min,United States,Romance
Avengers Endgame,Movie,2019,PG-13,181 min,United States,Action
RRR,Movie,2022,PG-13,187 min,India,Action
KGF Chapter 2,Movie,2022,PG-13,168 min,India,Action
Lucifer,TV Show,2016,TV-14,6 Seasons,United States,Drama
Wednesday,TV Show,2022,TV-14,1 Season,United States,Comedy
